attack,alpha,seed,active_frac,gate_mean,final_loss,mse,psnr,corr
dlg,0.5,7,1.0,0.11936921626329422,0.03283454477787018,1.4817190170288086,-9.158627960563805,0.27027544379234314
idlg,0.5,7,0.9002975821495056,0.09548386186361313,0.11824627965688705,142.7378692626953,-28.99636150698777,0.055818431079387665
inverting_gradients,0.5,7,1.0,0.12209446728229523,9.563037019688636e-05,0.09460155665874481,2.7900477605462304,0.7325469851493835
dlg,0.5,8,1.0,0.11817249655723572,0.03709984943270683,1.8147094249725342,-10.00834805815227,0.27329525351524353
idlg,0.5,8,0.867772102355957,0.09205189347267151,0.26655879616737366,306.24932861328125,-32.281028562822264,0.009595168754458427
inverting_gradients,0.5,8,1.0,0.12149877846240997,0.00018187868408858776,0.2466592937707901,-1.3412519471097588,0.5642723441123962
dlg,0.5,9,1.0,0.11944805830717087,0.07188514620065689,1.594472885131836,-9.325803437100111,0.2728200852870941
idlg,0.5,9,0.9733205437660217,0.11218748986721039,0.15843155980110168,25.719188690185547,-21.40220470161738,0.07506823539733887
inverting_gradients,0.5,9,1.0,0.12232031673192978,0.0014007100835442543,0.2708531320095062,-1.626970673946594,0.5646319389343262
dlg,0.5,10,0.9996811151504517,0.1178939938545227,0.08463924378156662,2.446747303009033,-11.215371758694799,0.22841373085975647
idlg,0.5,10,0.5393282175064087,0.049107879400253296,0.2980210483074188,9695.4033203125,-47.195139376524764,0.044970039278268814
inverting_gradients,0.5,10,1.0,0.12183182686567307,0.0008417004137299955,0.2759917080402374,-1.7384409180643787,0.5452089309692383
dlg,0.5,11,1.0,0.12003170698881149,0.009183013811707497,1.431907057762146,-8.799691783824272,0.3402290642261505
idlg,0.5,11,0.36405184864997864,0.02837582677602768,0.27178630232810974,14791.095703125,-48.940546957864335,0.036712728440761566
inverting_gradients,0.5,11,1.0,0.12203709036111832,0.0013171534519642591,0.6076788306236267,-5.077284560169848,0.40562447905540466
dlg,0.5,12,1.0,0.11973690986633301,0.07196061313152313,1.4170924425125122,-8.903782013327422,0.21626675128936768
idlg,0.5,12,0.9936224222183228,0.11473073810338974,0.0964009165763855,8.841571807861328,-16.855094978763457,0.10304003208875656
